Title,Genre,Metascore,imdbVotes,imdbRating,criticscore,criticcount,criticpos,criticmixed,criticneg,userscore,usercount,userpos,usermixed,userneg
The Venture Bros.,"Animation, Comedy, Sci-Fi",0,18788,8.6,-1,-1,-1,-1,0,8,44,42,-1,2
Suits,"Comedy, Drama",0,250140,8.7,61,17,8,8,-1,8,486,439,24,23
Luther,"Crime, Drama, Mystery",0,74208,8.6,83,11,11,-1,0,7,255,189,8,58
Leyla and Mecnun,"Adventure, Comedy, Drama",0,66354,9.2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Vikings,"Action, Drama, History",0,205503,8.6,71,20,17,3,0,7,582,484,22,76
The Legend of Korra,"Animation, Action, Adventure",0,67386,8.6,-1,-1,3,-1,0,8,318,281,15,22
The IT Crowd,Comedy,0,94670,8.6,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Black Books,Comedy,0,41333,8.6,-1,-1,-1,-1,0,8,31,29,1,1
Mr. Bean,"Comedy, Family",0,64031,8.5,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Ghost in the Shell: Stand Alone Complex,"Animation, Action, Crime",0,12347,8.6,-1,-1,-1,-1,0,8,36,31,1,4
I'm Alan Partridge,Comedy,0,13084,8.6,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Hannibal,"Crime, Drama, Horror",0,163087,8.6,70,32,21,8,-1,8,942,847,36,59
Futurama,"Animation, Comedy, Romance",0,157816,8.5,72,28,22,5,-1,9,218,204,9,5
Spartacus: War of the Damned,"Action, Adventure, Biography",0,175293,8.6,56,9,4,3,-1,7,156,123,9,24
Jesus of Nazareth,"Biography, Drama, History",0,13118,8.6,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Sons of Anarchy,"Crime, Drama, Thriller",0,185707,8.6,68,23,13,9,-1,8,519,456,24,39
The People v. O.J. Simpson: American Crime Story,"Biography, Crime, Drama",0,25284,8.5,90,45,43,2,0,8,311,277,12,22
The Knick,Drama,0,29416,8.6,75,37,28,9,0,8,219,198,7,14
Silicon Valley,Comedy,0,64030,8.5,84,36,34,2,0,8,390,355,19,16
